Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping_Delay,Shipping_Pressure_Index,Order_Complexity_Score,Profit_Margin,Express_Shipping
PAYMENT,5,4,49.12,188.92,Late delivery,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Africa,Kano,Nigeria,11.0,0.06,49.98,0.26,4,199.92,188.92,49.12,West Africa,Kano,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,1,1.0,799.68,0.2456982793117247,0
DEBIT,2,1,2.25,44.98,Late delivery,1,Indoor/Outdoor Games,Plano,EE. UU.,Consumer,TX,Fan Shop,LATAM,Tehuacán,México,5.0,0.1,49.98,0.05,1,49.98,44.98,2.25,Central America,Puebla,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,First Class,1,1.0,49.98,0.0450180072028811,1
DEBIT,5,2,63.49,226.77,Late delivery,1,Music,Caguas,Puerto Rico,Consumer,PR,Discs Shop,Pacific Asia,Melbourne,Australia,33.88,0.13,260.65,0.28,1,260.65,226.77,63.49,Oceania,Victoria,COMPLETE,Rock music,260.65,Second Class,3,0.5,260.65,0.2435833493190101,0
PAYMENT,4,4,5.62,44.99,Shipping on time,0,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,Pacific Asia,Bihar Sharif,India,15.0,0.25,59.99,0.13,1,59.99,44.99,5.62,South Asia,Bihar,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0,0.25,59.99,0.0936822803800633,0
TRANSFER,2,2,91.33,260.96,Shipping canceled,0,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Santo Domingo,República Dominicana,38.99,0.13,59.99,0.35,5,299.95,260.96,91.33,Caribbean,Santo Domingo,SUSPECTED_FRAUD,Perfect Fitness Perfect Rip Deck,59.99,Second Class,0,2.5,1499.75,0.3044840806801133,0
CASH,3,4,10.56,175.96,Advance shipping,0,Shop By Sport,Los Angeles,EE. UU.,Consumer,CA,Golf,Europe,Aprilia,Italia,23.99,0.12,39.99,0.06,5,199.95,175.96,10.56,Southern Europe,Lacio,CLOSED,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,-1,1.25,999.75,0.0528132033008252,0
TRANSFER,2,4,100.37,296.95,Advance shipping,0,Cleats,Tempe,EE. UU.,Consumer,AZ,Apparel,Pacific Asia,Kabul,Afganistán,3.0,0.01,59.99,0.34,5,299.95,296.95,100.37,South Asia,Kabul,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,-2,1.25,1499.75,0.3346224370728455,0
CASH,5,4,20.69,149.94,Late delivery,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Europe,Emmen,Países Bajos,49.98,0.25,49.98,0.14,4,199.92,149.94,20.69,Western Europe,Drenthe,CLOSED,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,1,1.0,799.68,0.1034913965586234,0
TRANSFER,2,1,115.99,399.98,Late delivery,1,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Pacific Asia,Manila,Filipinas,0.0,0.0,399.98,0.29,1,399.98,399.98,115.99,Southeast Asia,Capital Nacional,PENDING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class,1,1.0,399.98,0.2899894994749737,1
DEBIT,6,4,58.74,172.77,Late delivery,1,Cleats,Oxnard,EE. UU.,Corporate,CA,Apparel,LATAM,Tijuana,México,7.2,0.04,59.99,0.34,3,179.97,172.77,58.74,Central America,Baja California,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,2,0.75,539.91,0.3263877312885481,0
TRANSFER,0,0,3.54,31.35,Shipping on time,0,Electronics,North Hollywood,EE. UU.,Consumer,CA,Outdoors,USCA,Fayetteville,Estados Unidos,0.64,0.02,31.99,0.11,1,31.99,31.35,3.54,South of  USA ,Arkansas,PROCESSING,Bridgestone e6 Straight Distance NFL Tennesse,31.99,Same Day,0,inf,31.99,0.1106595811190997,1
DEBIT,2,1,59.39,134.98,Late delivery,1,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,LATAM,Bayeux,Brasil,44.99,0.25,59.99,0.44,3,179.97,134.98,59.39,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,1,3.0,539.91,0.3299994443518364,1
DEBIT,0,0,-197.45,127.39,Shipping on time,0,Men's Footwear,Los Angeles,EE. UU.,Corporate,CA,Apparel,Pacific Asia,Perth,Australia,2.6,0.02,129.99,-1.55,1,129.99,127.39,-197.45,Oceania,Australia Occidental,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Same Day,0,inf,129.99,-1.518962997153627,1
PAYMENT,3,4,218.38,454.95,Advance shipping,0,Cardio Equipment,Caguas,Puerto Rico,Home Office,PR,Footwear,Europe,Le Blanc-Mesnil,Francia,45.0,0.09,99.99,0.48,5,499.95,454.95,218.38,Western Europe,Isla de Francia,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,-1,1.25,2499.75,0.4368036803680368,0
TRANSFER,4,4,16.9,191.99,Shipping on time,0,Water Sports,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Limeira,Brasil,8.0,0.04,199.99,0.09,1,199.99,191.99,16.9,South America,São Paulo,PENDING,Pelican Sunstream 100 Kayak,199.99,Standard Class,0,0.25,199.99,0.0845042252112605,0
DEBIT,6,4,73.07,173.98,Late delivery,1,Cardio Equipment,Revere,EE. UU.,Corporate,MA,Footwear,Pacific Asia,Newcastle,Australia,26.0,0.13,99.99,0.42,2,199.98,173.98,73.07,Oceania,Nueva Gales del Sur,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,2,0.5,399.96,0.3653865386538654,0
PAYMENT,2,1,20.25,269.96,Late delivery,1,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,Pacific Asia,Dhule,India,30.0,0.1,59.99,0.08,5,299.95,269.96,20.25,South Asia,Maharashtra,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,First Class,1,5.0,1499.75,0.0675112518753125,1
DEBIT,0,0,30.0,299.98,Shipping on time,0,Camping & Hiking,Sugar Land,EE. UU.,Consumer,TX,Fan Shop,Europe,Roissy-en-Brie,Francia,0.0,0.0,299.98,0.1,1,299.98,299.98,30.0,Western Europe,Isla de Francia,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day,0,inf,299.98,0.1000066671111407,1
DEBIT,4,4,96.0,192.0,Shipping on time,0,Women's Apparel,Caguas,Puerto Rico,Home Office,PR,Golf,Europe,Luts'k,Ucrania,8.0,0.04,50.0,0.5,4,200.0,192.0,96.0,Eastern Europe,Volinia,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0,1.0,800.0,0.48,0
CASH,3,4,81.56,217.5,Advance shipping,0,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,USCA,Beverly,Estados Unidos,32.5,0.13,50.0,0.38,5,250.0,217.5,81.56,East of USA,Massachusetts,CLOSED,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,-1,1.25,1250.0,0.32624,0
TRANSFER,1,0,16.8,168.0,Late delivery,1,Women's Apparel,Duluth,EE. UU.,Corporate,GA,Golf,Europe,Pulheim,Alemania,32.0,0.16,50.0,0.1,4,200.0,168.0,16.8,Western Europe,Renania del Norte-Westfalia,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Same Day,1,inf,800.0,0.084,1
PAYMENT,5,4,-8.26,217.41,Late delivery,1,Indoor/Outdoor Games,Fairfield,EE. UU.,Consumer,CA,Fan Shop,Pacific Asia,Wagga Wagga,Australia,32.49,0.13,49.98,-0.04,5,249.9,217.41,-8.26,Oceania,Nueva Gales del Sur,PAYMENT_REVIEW,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,1,1.25,1249.5,-0.0330532212885154,0
PAYMENT,3,4,27.54,94.96,Advance shipping,0,Indoor/Outdoor Games,San Juan,Puerto Rico,Consumer,PR,Fan Shop,Pacific Asia,Kendari,Indonesia,5.0,0.05,49.98,0.29,2,99.96,94.96,27.54,Southeast Asia,Célebes Suroriental,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,-1,0.5,199.92,0.2755102040816327,0
CASH,6,4,-556.74,347.97,Late delivery,1,Cardio Equipment,Kent,EE. UU.,Consumer,WA,Footwear,Pacific Asia,Estambul,Turquía,51.99,0.13,99.99,-1.6,4,399.96,347.97,-556.74,West Asia,Estambul,CLOSED,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,2,1.0,1599.84,-1.391989198919892,0
DEBIT,5,2,42.41,113.09,Late delivery,1,Men's Footwear,North Hollywood,EE. UU.,Consumer,CA,Apparel,Pacific Asia,Melbourne,Australia,16.9,0.13,129.99,0.38,1,129.99,113.09,42.41,Oceania,Victoria,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,3,0.5,129.99,0.3262558658358335,0
DEBIT,2,1,5.1,101.97,Late delivery,1,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,Europe,Issy-les-Moulineaux,Francia,18.0,0.15,39.99,0.05,3,119.97,101.97,5.1,Western Europe,Isla de Francia,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,First Class,1,3.0,359.91,0.0425106276569142,1
CASH,3,4,14.44,165.99,Advance shipping,0,Water Sports,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Tegucigalpa,Honduras,34.0,0.17,199.99,0.09,1,199.99,165.99,14.44,Central America,Francisco Morazán,CLOSED,Pelican Sunstream 100 Kayak,199.99,Standard Class,-1,0.25,199.99,0.072203610180509,0
PAYMENT,4,4,39.16,107.89,Shipping on time,0,Men's Footwear,Cypress,EE. UU.,Corporate,CA,Apparel,Europe,Berlín,Alemania,22.1,0.17,129.99,0.36,1,129.99,107.89,39.16,Western Europe,Berlín,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,0,0.25,129.99,0.30125394261097,0
PAYMENT,4,4,-682.43,454.95,Shipping on time,0,Cardio Equipment,Caguas,Puerto Rico,Corporate,PR,Footwear,LATAM,Mixco,Guatemala,45.0,0.09,99.99,-1.5,5,499.95,454.95,-682.43,Central America,Guatemala,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,0,1.25,2499.75,-1.3649964996499648,0
TRANSFER,4,4,-28.47,251.97,Shipping on time,0,Cardio Equipment,Van Nuys,EE. UU.,Corporate,CA,Footwear,LATAM,Curitiba,Brasil,48.0,0.16,99.99,-0.11,3,299.97,251.97,-28.47,South America,Paraná,PROCESSING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,0,0.75,899.9100000000001,-0.0949094909490949,0
PAYMENT,2,4,40.8,85.0,Advance shipping,0,Women's Apparel,Carmichael,EE. UU.,Consumer,CA,Golf,Pacific Asia,Ho Chi Minh City,Vietnam,15.0,0.15,50.0,0.48,2,100.0,85.0,40.8,Southeast Asia,Ciudad Ho Chi Minh,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,-2,0.5,200.0,0.408,0
PAYMENT,4,4,-21.1,134.37,Shipping on time,0,Shop By Sport,Colorado Springs,EE. UU.,Corporate,CO,Golf,Europe,London,Reino Unido,25.59,0.16,39.99,-0.16,4,159.96,134.37,-21.1,Northern Europe,Inglaterra,PENDING_PAYMENT,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,0,1.0,639.84,-0.1319079769942485,0
DEBIT,2,1,28.78,106.59,Late delivery,1,Men's Footwear,Lancaster,EE. UU.,Consumer,PA,Apparel,Pacific Asia,Bekasi,Indonesia,23.4,0.18,129.99,0.27,1,129.99,106.59,28.78,Southeast Asia,Java Occidental,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class,1,1.0,129.99,0.2214016462804831,1
DEBIT,4,2,99.94,293.95,Late delivery,1,Cleats,Wayne,EE. UU.,Corporate,NJ,Apparel,Europe,London,Reino Unido,6.0,0.02,59.99,0.34,5,299.95,293.95,99.94,Northern Europe,Inglaterra,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,Second Class,2,2.5,1499.75,0.3331888648108018,0
DEBIT,2,2,53.23,118.29,Shipping on time,0,Men's Footwear,Aurora,EE. UU.,Consumer,CO,Apparel,LATAM,Matagalpa,Nicaragua,11.7,0.09,129.99,0.45,1,129.99,118.29,53.23,Central America,Matagalpa,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,0,0.5,129.99,0.4094930379259942,0
DEBIT,0,0,31.58,167.99,Shipping on time,0,Water Sports,Campbell,EE. UU.,Consumer,CA,Fan Shop,USCA,Henderson,Estados Unidos,32.0,0.16,199.99,0.19,1,199.99,167.99,31.58,South of  USA ,Kentucky,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Same Day,0,inf,199.99,0.1579078953947697,1
DEBIT,5,2,81.66,224.96,Late delivery,1,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Zapopan,México,74.99,0.25,59.99,0.36,5,299.95,224.96,81.66,Central America,Jalisco,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Second Class,3,2.5,1499.75,0.2722453742290381,0
TRANSFER,4,4,15.94,159.45,Shipping on time,0,DVDs,La Crosse,EE. UU.,Home Office,WI,Discs Shop,Europe,Cork,Irlanda,4.93,0.03,164.38,0.1,1,164.38,159.45,15.94,Northern Europe,Cork,PROCESSING,DVDs ,164.38,Standard Class,0,0.25,164.38,0.0969704343594111,0
PAYMENT,0,0,8.29,66.36,Shipping on time,0,Trade-In,Brooklyn,EE. UU.,Corporate,NY,Outdoors,Pacific Asia,Wafangdian,China,13.59,0.17,15.99,0.13,5,79.95,66.36,8.29,Eastern Asia,Liaoning,PENDING_PAYMENT,Glove It Imperial Golf Towel,15.99,Same Day,0,inf,399.75,0.1036898061288305,1
DEBIT,5,4,-3.28,251.97,Late delivery,1,Cardio Equipment,Tustin,EE. UU.,Consumer,CA,Footwear,Europe,Milan,Italia,48.0,0.16,99.99,-0.01,3,299.97,251.97,-3.28,Southern Europe,Lombardía,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,1,0.75,899.9100000000001,-0.0109344267760109,0
PAYMENT,5,4,94.64,363.98,Late delivery,1,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Europe,Alicante,España,36.0,0.09,399.98,0.26,1,399.98,363.98,94.64,Southern Europe,Valenciana,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,1,0.25,399.98,0.2366118305915295,0
DEBIT,4,4,-289.91,377.98,Shipping on time,0,Fishing,Marion,EE. UU.,Consumer,OH,Fan Shop,LATAM,Maracay,Venezuela,22.0,0.06,399.98,-0.77,1,399.98,377.98,-289.91,South America,Aragua,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,0,0.25,399.98,-0.7248112405620282,0
DEBIT,3,2,52.02,113.09,Late delivery,1,Men's Footwear,Chicago,EE. UU.,Consumer,IL,Apparel,Pacific Asia,Surabaya,Indonesia,16.9,0.13,129.99,0.46,1,129.99,113.09,52.02,Southeast Asia,Java Oriental,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,1,0.5,129.99,0.4001846295868912,0
PAYMENT,4,4,-65.1,371.98,Shipping on time,0,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Maracaibo,Venezuela,28.0,0.07,399.98,-0.18,1,399.98,371.98,-65.1,South America,Zulia,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,0,0.25,399.98,-0.1627581379068953,0
CASH,3,4,25.44,78.28,Advance shipping,0,Tennis & Racquet,Chicago,EE. UU.,Corporate,IL,Fitness,Europe,Kettering,Reino Unido,11.7,0.13,44.99,0.33,2,89.98,78.28,25.44,Northern Europe,Inglaterra,CLOSED,Nike Men's Comfort 2 Slide,44.99,Standard Class,-1,0.5,179.96,0.2827294954434319,0
TRANSFER,3,4,16.32,33.99,Shipping canceled,0,Shop By Sport,Normal,EE. UU.,Consumer,IL,Golf,Pacific Asia,Bangkok,Tailandia,6.0,0.15,39.99,0.48,1,39.99,33.99,16.32,Southeast Asia,Bangkok,SUSPECTED_FRAUD,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,-1,0.25,39.99,0.4081020255063766,0
TRANSFER,6,4,-18.63,134.98,Late delivery,1,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,Pacific Asia,Hanoi,Vietnam,44.99,0.25,59.99,-0.14,3,179.97,134.98,-18.63,Southeast Asia,Th? Dô Hà N?i,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,2,0.75,539.91,-0.1035172528754792,0
TRANSFER,5,4,-33.75,449.96,Late delivery,1,Cardio Equipment,Caguas,Puerto Rico,Consumer,PR,Footwear,LATAM,Tegucigalpa,Honduras,50.0,0.1,99.99,-0.08,5,499.95,449.96,-33.75,Central America,Francisco Morazán,PENDING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,1,1.25,2499.75,-0.0675067506750675,0
TRANSFER,4,4,133.84,395.98,Shipping on time,0,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,Europe,Bielefeld,Alemania,4.0,0.01,399.98,0.34,1,399.98,395.98,133.84,Western Europe,Renania del Norte-Westfalia,PROCESSING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,0,0.25,399.98,0.3346167308365418,0
CASH,6,4,14.82,235.16,Late delivery,1,Cleats,Las Vegas,EE. UU.,Consumer,NV,Apparel,LATAM,León,Nicaragua,4.8,0.02,59.99,0.06,4,239.96,235.16,14.82,Central America,León,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,2,1.0,959.84,0.0617602933822303,0
TRANSFER,3,2,-145.59,181.99,Late delivery,1,Water Sports,Brooklyn,EE. UU.,Corporate,NY,Fan Shop,Europe,Palaiseau,Francia,18.0,0.09,199.99,-0.8,1,199.99,181.99,-145.59,Western Europe,Isla de Francia,PROCESSING,Pelican Sunstream 100 Kayak,199.99,Second Class,1,0.5,199.99,-0.727986399319966,0
DEBIT,0,0,102.08,248.98,Shipping on time,0,Camping & Hiking,Baltimore,EE. UU.,Consumer,MD,Fan Shop,LATAM,Chimaltenango,Guatemala,51.0,0.17,299.98,0.41,1,299.98,248.98,102.08,Central America,Chimaltenango,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day,0,inf,299.98,0.3402893526235082,1
CASH,2,1,29.6,128.69,Late delivery,1,Men's Footwear,Wyoming,EE. UU.,Corporate,MI,Apparel,Europe,Madrid,España,1.3,0.01,129.99,0.23,1,129.99,128.69,29.6,Southern Europe,Madrid,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class,1,1.0,129.99,0.2277098238326025,1
CASH,3,2,25.2,251.98,Late delivery,1,Camping & Hiking,Dallas,EE. UU.,Consumer,TX,Fan Shop,Africa,Algiers,Argelia,48.0,0.16,299.98,0.1,1,299.98,251.98,25.2,North Africa,Alger,CLOSED,Diamondback Women's Serene Classic Comfort Bi,299.98,Second Class,1,0.5,299.98,0.0840056003733582,0
TRANSFER,2,4,12.75,75.0,Advance shipping,0,Women's Apparel,Baytown,EE. UU.,Corporate,TX,Golf,LATAM,Villa Nueva,Guatemala,25.0,0.25,50.0,0.17,2,100.0,75.0,12.75,Central America,Guatemala,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,-2,0.5,200.0,0.1275,0
PAYMENT,5,2,-29.25,97.49,Late delivery,1,Men's Footwear,Broken Arrow,EE. UU.,Consumer,OK,Apparel,Africa,Lagos,Nigeria,32.5,0.25,129.99,-0.3,1,129.99,97.49,-29.25,West Africa,Lagos,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,3,0.5,129.99,-0.225017309023771,0
TRANSFER,2,1,-33.47,55.79,Late delivery,1,Cleats,Dallas,EE. UU.,Consumer,TX,Apparel,LATAM,Villa Nueva,Guatemala,4.2,0.07,59.99,-0.6,1,59.99,55.79,-33.47,Central America,Guatemala,PROCESSING,Perfect Fitness Perfect Rip Deck,59.99,First Class,1,1.0,59.99,-0.5579263210535089,1
DEBIT,2,1,18.6,299.99,Late delivery,1,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,USCA,Philadelphia,Estados Unidos,100.0,0.25,399.98,0.06,1,399.98,299.99,18.6,East of USA,Pensilvania,ON_HOLD,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class,1,1.0,399.98,0.0465023251162558,1
PAYMENT,6,4,42.31,120.89,Late delivery,1,Men's Footwear,Fayetteville,EE. UU.,Consumer,NC,Apparel,Pacific Asia,Hamadán,Irán,9.1,0.07,129.99,0.35,1,129.99,120.89,42.31,South Asia,Hamadán,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,2,0.25,129.99,0.3254865758904531,0
TRANSFER,6,2,54.23,479.95,Late delivery,1,Cardio Equipment,Fort Lauderdale,EE. UU.,Consumer,FL,Footwear,Pacific Asia,Huaihua,China,20.0,0.04,99.99,0.11,5,499.95,479.95,54.23,Eastern Asia,Hunan,PROCESSING,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class,4,2.5,2499.75,0.1084708470847084,0
CASH,2,4,100.15,319.98,Advance shipping,0,Fishing,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Europe,Graz,Austria,80.0,0.2,399.98,0.31,1,399.98,319.98,100.15,Western Europe,Stiria,CLOSED,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,-2,0.25,399.98,0.2503875193759688,0
DEBIT,6,4,13.15,149.38,Late delivery,1,Cleats,Long Beach,EE. UU.,Home Office,CA,Apparel,Europe,Haguenau,Francia,30.59,0.17,59.99,0.09,3,179.97,149.38,13.15,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,2,0.75,539.91,0.0730677335111407,0
TRANSFER,3,4,69.68,158.36,Advance shipping,0,Shop By Sport,Douglasville,EE. UU.,Consumer,GA,Golf,Pacific Asia,Surakarta,Indonesia,1.6,0.01,39.99,0.44,4,159.96,158.36,69.68,Southeast Asia,Java Central,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,-1,1.0,639.84,0.4356089022255564,0
DEBIT,6,4,31.02,82.71,Late delivery,1,Pet Supplies,Cumberland,EE. UU.,Corporate,MD,Pet Shop,Pacific Asia,Bendigo,Australia,1.69,0.02,84.4,0.38,1,84.4,82.71,31.02,Oceania,Victoria,COMPLETE,Adult dog supplies,84.4,Standard Class,2,0.25,84.4,0.3675355450236967,0
PAYMENT,5,4,-36.4,181.99,Late delivery,1,Water Sports,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Panama City,Panamá,18.0,0.09,199.99,-0.2,1,199.99,181.99,-36.4,Central America,Panamá,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class,1,0.25,199.99,-0.1820091004550227,0
TRANSFER,5,4,-283.19,339.97,Late delivery,1,Cardio Equipment,Washington,EE. UU.,Consumer,DC,Footwear,USCA,Oklahoma City,Estados Unidos,59.99,0.15,99.99,-0.83,4,399.96,339.97,-283.19,US Center ,Oklahoma,PROCESSING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,1,1.0,1599.84,-0.7080458045804581,0
TRANSFER,3,4,18.03,39.19,Advance shipping,0,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,Europe,Quimper,Francia,0.8,0.02,39.99,0.46,1,39.99,39.19,18.03,Western Europe,Bretaña,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,-1,0.25,39.99,0.4508627156789197,0
TRANSFER,5,4,100.0,399.98,Late delivery,1,Fishing,Riverside,EE. UU.,Consumer,CA,Fan Shop,Europe,Saint-Priest,Francia,0.0,0.0,399.98,0.25,1,399.98,399.98,100.0,Western Europe,Auvernia-Ródano-Alpes,PENDING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,1,0.25,399.98,0.2500125006250312,0
CASH,2,1,9.93,29.37,Late delivery,1,Books ,Caguas,Puerto Rico,Corporate,PR,Book Shop,Europe,Bolton,Reino Unido,1.71,0.06,31.08,0.34,1,31.08,29.37,9.93,Northern Europe,Inglaterra,CLOSED,Sports Books ,31.08,First Class,1,1.0,31.08,0.3194980694980695,1
TRANSFER,2,1,60.72,132.0,Late delivery,1,Women's Apparel,Brownsville,EE. UU.,Corporate,TX,Golf,LATAM,Carrefour,Haití,18.0,0.12,50.0,0.46,3,150.0,132.0,60.72,Caribbean,Ouest,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,First Class,1,3.0,450.0,0.4048,1
PAYMENT,6,4,5.94,197.99,Late delivery,1,Water Sports,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Juárez,México,2.0,0.01,199.99,0.03,1,199.99,197.99,5.94,Central America,Chihuahua,PAYMENT_REVIEW,Pelican Sunstream 100 Kayak,199.99,Standard Class,2,0.25,199.99,0.0297014850742537,0
DEBIT,4,4,44.0,95.66,Shipping on time,0,Kids' Golf Clubs,West Chester,EE. UU.,Corporate,PA,Outdoors,Europe,Turin,Italia,14.29,0.13,109.95,0.46,1,109.95,95.66,44.0,Southern Europe,Piamonte,COMPLETE,Polar Loop Activity Tracker,109.95,Standard Class,0,0.25,109.95,0.4001819008640291,0
PAYMENT,4,2,6.19,49.48,Late delivery,1,Indoor/Outdoor Games,Washington,EE. UU.,Corporate,DC,Fan Shop,Pacific Asia,Yakarta,Indonesia,0.5,0.01,49.98,0.13,1,49.98,49.48,6.19,Southeast Asia,Yakarta,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Second Class,2,0.5,49.98,0.1238495398159263,0
TRANSFER,4,4,21.84,218.36,Shipping on time,0,Cleats,Laredo,EE. UU.,Consumer,TX,Apparel,Pacific Asia,Lower Hutt,Nueva Zelanda,21.6,0.09,59.99,0.1,4,239.96,218.36,21.84,Oceania,Wellington,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0,1.0,959.84,0.0910151691948658,0
PAYMENT,6,2,48.26,148.5,Late delivery,1,Women's Apparel,West Covina,EE. UU.,Consumer,CA,Golf,Europe,Poltava,Ucrania,1.5,0.01,50.0,0.33,3,150.0,148.5,48.26,Eastern Europe,Poltava,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,4,1.5,450.0,0.3217333333333333,0
TRANSFER,2,4,137.19,391.96,Advance shipping,0,Cardio Equipment,Miami,EE. UU.,Consumer,FL,Footwear,LATAM,Puebla,México,8.0,0.02,99.99,0.35,4,399.96,391.96,137.19,Central America,Puebla,PENDING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,-2,1.0,1599.84,0.343009300930093,0
